ID,MUID,Code,Currency,Country_Name,Flag
62,8E8EFDAC-1A2B-4A96-9D9E-B1AD35F9DE16,DominicaXCD,XCD,Dominica,True
63,D916DE12-BD96-40FA-985D-BFA9648C86C5,Dominican RepublicDOP,DOP,Dominican Republic,True
64,20D2F81D-8F5A-49C7-A6FC-A8D4B60C989F,EcuadorUSD,USD,Ecuador,True
65,3DAF732F-FE81-4D93-BF4D-A679DF2D3883,EgyptEGP,EGP,Egypt,True
66,51EE69DA-1A8A-4F02-83FF-D944611FDC3D,El SalvadorUSD,USD,El Salvador,True
67,9AE2F7E5-ADCA-428A-B790-FBF7E6128E78,Equatorial GuineaXAF,XAF,Equatorial Guinea,True
68,153EE4F2-1593-4C89-981E-9FB622ABB0E9,EritreaERN,ERN,Eritrea,True
69,6C3734D4-5E1F-4F96-BF54-05BFEAB3F735,EstoniaEUR,EUR,Estonia,True
70,D66A197D-BD26-4FBC-87F8-EEC5650D6728,EthiopiaETB,ETB,Ethiopia,True
71,5B11DDC8-7CCC-4165-8690-E14E51B08AE6,Falkland Islands (Malvinas)FKP,FKP,Falkland Islands (Malvinas),True
72,CCB0263E-7611-4C9D-89EC-04EA24672278,Faroe IslandsDKK,DKK,Faroe Islands,True
73,2015CC79-ACF9-4B33-B5CA-17D048A891BF,FijiFJD,FJD,Fiji,True
74,894CB6F9-E293-48D0-9CE5-4E63F408DF49,FinlandEUR,EUR,Finland,True
75,9BA8BCC6-1257-4A52-B3F5-0BEC604A4BCD,FranceEUR,EUR,France,True
76,8FDC1DC0-8D65-4BC2-B3C1-1508E213B146,French GuianaEUR,EUR,French Guiana,True
77,AC8BFF51-B6AB-4DA1-86CF-301E718D058B,French PolynesiaXPF,XPF,French Polynesia,True
78,7031A9A7-7EDD-4439-9921-21C5D1DBE637,French Southern TerritoriesEUR,EUR,French Southern Territories,True
79,57BF60B8-BD15-4FA2-9B66-1B4821C3F6B6,GabonXAF,XAF,Gabon,True
80,25D3590F-5249-4EDB-B690-9EE0274B8C04,"Gambia, the Republic of theGMD",GMD,"Gambia, the Republic of the",True
81,6A4A22BE-6552-4609-94F8-FD634C24E5E7,GeorgiaGEL,GEL,Georgia,True
82,F32A051D-017C-4AC8-9259-6EBE25B71888,GermanyEUR,EUR,Germany,True
83,91AEAF91-CBDF-47BC-8AA0-DC0AAB6640C9,GhanaGHS,GHS,Ghana,True
84,186FAB20-2B75-46C0-924F-48319ED2AFA4,GibraltarGIP,GIP,Gibraltar,True
85,8DA5AA18-6974-4B58-B0DB-CCC5CAE23D2F,GreeceEUR,EUR,Greece,True
86,DFA2561B-3EF6-4B84-ADCE-009DBF184A73,GreenlandDKK,DKK,Greenland,True
87,940FB521-22B7-450F-A299-EA9FA1C4B73A,GrenadaXCD,XCD,Grenada,True
88,1F7D0090-B960-4BBE-BC1D-9C9BDDC26C52,GuadeloupeEUR,EUR,Guadeloupe,True
89,676E5184-B2BD-45F0-9CF9-B87F80E7FCFF,GuamUSD,USD,Guam,True
90,DDEC3450-5B32-47C1-B331-A57440A07254,GuatemalaGTQ,GTQ,Guatemala,True
91,EF7981CA-E9E3-413C-84EE-DD897C25C8D9,GuernseyGBP,GBP,Guernsey,True
92,29F3AE22-AEC6-43F4-AC2A-EC75A8745A91,GuineaGNF,GNF,Guinea,True
93,9A804BF0-5304-4736-9245-81812E6CECEA,Guinea-BissauXOF,XOF,Guinea-Bissau,True
94,C11E53F9-4DC3-4469-8B2D-EE442073C812,GuyanaGYD,GYD,Guyana,True
95,876530DC-371D-48C0-8B12-CAFB9CD731AF,HaitiHTG,HTG,Haiti,True
96,75C728B3-F07F-44AB-95A6-0EE73EA184D9,Heard Island and McDonald IslandsAUD,AUD,Heard Island and McDonald Islands,True
97,38A54AC7-9BAD-459B-B7D4-D7C2EB43C2AD,HondurasHNL,HNL,Honduras,True
98,0C7E49F8-58F5-48CD-902C-17B583CB3625,Hong KongHKD,HKD,Hong Kong,True
99,50626A26-687B-4ABA-A16C-3D3745D1C464,HungaryHUF,HUF,Hungary,True
100,60FD4830-54F2-4722-BCD4-5A061A45755B,IcelandISK,ISK,Iceland,True
101,0898DD2E-2E94-4B19-BAD8-82F6E62A0E1C,IndiaINR,INR,India,True
102,114D56CE-6135-4BE3-9F94-503CDF2059C8,IndonesiaIDR,IDR,Indonesia,True
103,5BEDEBFD-EB9F-4027-B7C5-2B9228392A42,Iran (Islamic Republic of)IRR,IRR,Iran (Islamic Republic of),True
104,351E6667-026D-4EEF-B809-E98F707BE743,IraqIQD,IQD,Iraq,True
105,84502BF2-E12C-428D-BFF6-6330B3B92831,IrelandEUR,EUR,Ireland,True
106,73B4E859-60A5-4499-9E10-4F968CB99601,Isle of ManGBP,GBP,Isle of Man,True
107,55B00577-1A6F-4C2D-A4C2-B1D4FA5909C2,IsraelILS,ILS,Israel,True
108,AE252321-7B46-4ACE-B14A-B3621BB55A38,ItalyEUR,EUR,Italy,True
109,208E1959-525F-453E-9F43-CF460DBD03CB,JamaicaJMD,JMD,Jamaica,True
110,DB699FED-B279-48E9-B18F-7CEB1CF66BD1,JapanJPY,JPY,Japan,True
111,65DA3EE4-B589-42D1-B140-72C130B72895,JerseyGBP,GBP,Jersey,True
112,F5694E1F-EAEB-40BF-B33D-E5379DDB8EF7,JordanJOD,JOD,Jordan,True
113,37E6083F-9A5B-4C1F-995E-3D36D3EE2BD2,KazakhstanKZT,KZT,Kazakhstan,True
114,77BDB38D-3E3F-41D8-B5C5-236F2C907D94,KenyaKES,KES,Kenya,True
115,3181035F-2D7D-4A09-BAF1-A10D0FBF3E52,KiribatiAUD,AUD,Kiribati,True
116,39DFAD5B-2932-461C-BE17-E1B1E87A15AA,"Korea, Democratic People's Republic ofKPW",KPW,"Korea, Democratic People's Republic of",True
117,10673CA1-C9D1-4637-89F5-F69FF030B798,"Korea, Republic ofKRW",KRW,"Korea, Republic of",True
118,D50AC92B-07CD-46FD-A0CC-6B1DCC6CD482,KuwaitKWD,KWD,Kuwait,True
119,CEB4E81F-1D90-4AD1-ACD5-2F7B95BBCF51,KyrgyzstanKGS,KGS,Kyrgyzstan,True
120,6499A267-B523-494D-BE98-8FDD96FFE61A,Lao People's Democratic RepublicLAK,LAK,Lao People's Democratic Republic,True
121,CD59A4B1-649D-420E-94DF-D097D085AE19,LatviaEUR,EUR,Latvia,True
122,73340AF5-A703-4FAE-84F3-18AF22345D4D,LebanonLBP,LBP,Lebanon,True
123,0C705762-D008-48E2-8596-521B8ACBAD61,LesothoLSL,LSL,Lesotho,True
124,D507CF06-1873-4A4F-BC0D-D4C4B34D952E,LiberiaLRD,LRD,Liberia,True
125,D8277F7D-A299-4D60-B74F-406FF181A30D,LibyaLYD,LYD,Libya,True
126,68785E80-D65E-4DBD-AE86-9448697FA237,LiechtensteinCHF,CHF,Liechtenstein,True
127,F1300D89-2CF6-44DC-AB23-84048A656E33,LithuaniaEUR,EUR,Lithuania,True
128,32621DD1-B79D-414F-89BF-106F244713A2,LuxembourgEUR,EUR,Luxembourg,True
129,2A75F584-19BA-4478-9939-90E0CB8BBDFB,MacauMOP,MOP,Macau,True
130,B71A251B-E424-45F0-8CCE-782826100511,MacedoniaMKD,MKD,Macedonia,True
131,2CBAF4AE-DF65-4C43-9F6A-67887B68B70A,MadagascarMGA,MGA,Madagascar,True
132,AA45685A-B820-42E0-9C1E-722C4FCB0E9B,MalawiMWK,MWK,Malawi,True
133,19E6A391-4938-465A-91A8-3072189DE4B1,MalaysiaMYR,MYR,Malaysia,True
134,60FF1155-701F-4573-8332-C8D76E3D6AC1,MaldivesMVR,MVR,Maldives,True
135,5CE96D44-780A-464A-94F2-C6ED560D0A77,MaliXOF,XOF,Mali,True
136,3882C82F-7BA0-41B9-8B43-2E9C6BD07617,MaltaEUR,EUR,Malta,True
137,48F0B394-6D9C-419C-9934-2DF11B3F2F1E,Marshall IslandsUSD,USD,Marshall Islands,True
138,3E1BFF24-A6B2-42A6-8F2B-D0313BA94525,MartiniqueEUR,EUR,Martinique,True
139,C2E4A914-F675-412B-ABD7-4AD36BEF4A5A,MauritaniaMRO,MRO,Mauritania,True
140,570CF340-F256-4EE7-BDF8-AE86D7F77DB0,MauritiusMUR,MUR,Mauritius,True
141,90DDD878-2701-4184-8BB6-71FB7C464D37,MayotteEUR,EUR,Mayotte,True
142,0AA6462F-D899-44C2-92F9-4BBE515F33F1,MexicoMXN,MXN,Mexico,True
143,24D85235-A1D0-4BF1-B488-163B3C416BA8,Micronesia (Federated States of)USD,USD,Micronesia (Federated States of),True
144,AED61136-5B0C-4CD3-B47F-A6CFB46406F1,"Moldova, Republic ofMDL",MDL,"Moldova, Republic of",True
145,891F114E-68CA-4B42-9791-4F08D07DCB41,MonacoEUR,EUR,Monaco,True
